구장명,주소
강남 스타 장 B면,서울시 서초구 매헌로 16 7층
FC플레이어 실내장(도곡점) A면,서울시 강남구 논현로 152 2층
FC플레이어 실내장(도곡점) B면,서울시 강남구 논현로 152 2층
짐앤아이 장(노원점) 실내,서울시 노원구 공릉동 408-6 4층
한국파크 (목동점),서울시 양천구 목동 807-1 옥상
JP연세 실내장,서울시 강서구 수명로 80 지하1층
관악 피닉스 실내장,서울시 관악구 난향길 5 2층
동대문 토모 파크 B면(야외),서울시 동대문구 답십리동 532-8 답십리골든타워 옥상
티키타카 실내장 A면,서울시 성북구 정릉동 산16-46 서경대학교 수인관
티키타카 실내장 B면,서울시 성북구 정릉동 산16-46 서경대학교 수인관
티키타카 실내장 C면,서울시 성북구 정릉동 산16-46 서경대학교 수인관
월계 SMC PARK 실내구장,서울시 노원구 월계동 322-1 성원아파트상가 지하1층
구로주니어FC 장 실내 2구장,서울시 구로구 경서로 12 대상빌딩 2층
당산 업핏풋볼그라운드 루프탑장,서울시 영등포구 당산로 241 유니언타운 루프탑
리치유소년 실내장 2호점 A구장,서울시 구로구 구로중앙로 134 구로자이 나인스에비뉴 B1층
리치유소년 실내장 2호점 B구장,서울시 구로구 구로중앙로 134 구로자이 나인스에비뉴 B1층
잠실 로꼬스타디움 1구장,서울시 송파구 잠실동 40-1 R층
목동 빅토리스포츠 클럽,서울시 양천구 신목로5길 13 B1층
동작 원스포츠 실내장,서울시 동작구 상도로15길 98 지하1층
영등포 하이어스 실내장,서울시 영등포구 양평동 2가 37-2 양평빌딩 206호
관악 원스포츠 실내장,서울시 관악구 관악로30길 27 푸르지오상가 1층 111호
동대문 토모 피치 블루구장(실내),서울시 동대문구 답십리로 209 2층
자양 WIN FC 1호점(실내),서울시 광진구 자양번영로 69 2층
강남 D&K 트레이닝존 A구장,서울시 강남구 대치동 911-7
마포키즈아레나 1호점 트레이닝존,서울시 마포구 용강동 토정로31길 24
마포키즈아레나 2호점 실내장,서울시 마포구 도화동 51-1 성우빌딩 지하1층
마포키즈아레나 2호점 트레이닝존,서울시 마포구 도화동 51-1 성우빌딩 지하1층
동대문 토모 피치 그린구장(실내),서울시 동대문구 답십리로 209 2층
태즈풋볼 역삼자이점 실내장,서울시 강남구 역삼동 711-6 역삼자이상가 5층
태즈풋볼 도곡점 실내장,서울시 강남구 역삼동 779-3 광진빌딩 2층
노원 팀일레븐 트레이닝존 A구장,서울시 노원구 공릉로 227 지층
노원 팀일레븐 트레이닝존 B구장,서울시 노원구 공릉로 227 지층
노원 팀일레븐 트레이닝존 A+B구장,서울시 노원구 공릉로 227 지층
노원 송구칠 실내장,서울시 노원구 상계로 27길12 지하1층
노원 송구칠 트레이닝존,서울시 노원구 상계로 27길12 지하1층
 KSU 야외장,서울시 강서구 등촌로75 욱장빌딩 8층
KSU 트레이닝존 A구장,서울시 양천구 등촌로 100 지하1층
KSU 트레이닝존 B구장,서울시 양천구 등촌로 100 지하1층
도곡 로꼬스타디움 2구장,서울시 강남구 대치동 500 그랑프리엔 4층
도곡 로꼬스타디움 3구장,서울시 강남구 대치동 500 그랑프리엔 4층
목동 팀워크 실내파크,서울시 양천구 국회대로 283 2층
관악축구클럽 실내장,서울시 관악구 신림동 561-4 지하1층
강서풋볼아카데미 실내장,서울시 강서구 등촌동 683 B1층
동대문 지니파크 트레이닝존,서울시 동대문구 왕산로68 용운빌딩 옥상층
중계건영 SMC PARK 실내구장,서울시 노원구 섬밭로 258 건영백화점 4층
송파 풋볼투게더 실내장,서울시 송파구 동남로6길 6 지하1층
강서염창 로꼬스타디움 실내 2구장,서울시 강서구 염창동 64-1
광진 더베이스캠프 실내장,서울시 광진구 아차산로292 모아빌딩 B1층
서초 샤프풋볼 실내장,서울시 서초구 서초대로335 서흥빌딩 B1층
노원 아시아퍼시픽 장 C구장,서울시 노원구 월계동 820
노원 아시아퍼시픽 장 D구장,서울시 노원구 월계동 820
신길 아웃풋 실내장,서울시 영등포구 영등포로364 대하빌딩 지하1층
사당 풋볼 실내장,서울시 관악구 남부순환로2030 B1층
자양 WIN FC 2호점(실내),서울시 광진구 뚝섬로35길 14 한라아파트 B동상가 지하1층
영등포 투터치 실내장,서울시 영등포구 가마산로69가길12 지하 1층
마포키즈아레나 3호점 트레이닝존 A면,서울시 마포구 마포대로 231푸르지오 101동상가 지하1층
마포키즈아레나 3호점 트레이닝존 B면,서울시 마포구 마포대로 231푸르지오 101동상가 지하1층
강동 상일 실내장,"서울시 강동구 상일동 286, 3층"
영등포 문래 TISC 실내장 옐로우구장,서울시 영등포구 문래로55 2층 4호
영등포 문래 TISC 실내장 블랙구장,서울시 영등포구 문래로55 2층 4호
명지 유앤아이 실내장,서울시 서대문구 홍은동 402-34 2층
JDY 풋볼센터(실내),인천시 계양구 계산동 1085-3 태평아파트상가동 지하 b01호 JDY풋볼센터
예스 풋볼아카데미 장(실내),인천시 연수구 송도동 8-12 6층
인유FC 청라 스킬트레이닝센터,인천시 서구 청라 커낼로288번길 10 더스페이스타워 1005호
인천 스포스쿨 실내장,인천시 중구 하늘달빛로 70 5층
골든아이 스포츠클럽(완정점) 실내 장 ,인천시 서구 완정로 115 2층
MIN스포츠아카데미 2관 야외장,인천시 부평구 삼산동 168-2
인천 GOD 스타디움 야외구장,인천시 서구 길주로 44번길 13
인천풋볼파크 장(야외),인천시 서구 가좌동 151-37 옥상층
파주 JM 풋볼파크 실내장,경기도 파주시 조리읍 대원리 257 7동
풋볼아카데미(선진 1구장),경기도 고양시 덕양구 동산동 225-17
운정 싸커스토리 실내장,경기도 파주시 야당동 466-24
세븐클럽 A면,경기도 고양시 덕양구 행신동 247-8
세븐클럽 B면,경기도 고양시 덕양구 행신동 247-8
고양 일산 팬텀실내장 A면,경기도 고양시 일산동구 성석동 1075-125 1층
고양 일산 팬텀실내장 B면,경기도 고양시 일산동구 성석동 1075-125 2층
배다골테마파크 장 1구장,경기도 고양시 덕양구 화정동 7-4
배다골테마파크 장 2구장,경기도 고양시 덕양구 화정동 7-4
누캄프 장(Nou Camp) A면,경기도 고양시 덕양구 동산동 4-8 (그린테니스장 아래)
누캄프 장(Nou Camp) B면,경기도 고양시 덕양구 동산동 4-8 (그린테니스장 아래)
스코어888 김병지FC 별내 파크,경기도 남양주시 별내동 945
SFC 스포츠클럽 A면,경기도 화성시 배양동 69-537
다농 THE K 장 A면,경기도 안산시 상록구 월피동 445-1 다농마트 11층
다농 THE K 장 B면,경기도 안산시 상록구 월피동 445-1 다농마트 11층
오산 파크 A면,경기도 오산시 원동 92-2
스위프트 스포츠 아카데미 장,경기도 안산시 단원구 고잔동 에이스골드옥상 772-2
더파크 장,경기도 용인시 수지구 풍덕천동 29-7 5층 옥상
고양 휘슬 장,경기도 고양시 덕양구 용두동 432-393
화전 J장(야외),경기도 고양시 덕양구 화전동 427-1
고양 스타케이지 실내장,경기도 고양시 신원동 626-1 2층
HM 파크 일산점 A면,경기도 고양시 일산동구 장항동 755 홈플러스 옥상
KGL 체육교실 장 A면,경기도 화성시 동탄면 금곡로 211-89
다원 장,경기도 남양주시 금곡동 430-11
코리아레포츠 실내장,경기도 고양시 일산서구 덕이동 1300-3
안양 Master 파크 동안구점 A면(실내),경기도 안양시 동안구 비산동 1030-5 지층
김포 팬텀장 실외,경기도 김포시 풍무동 674-6
김포 팬텀장 실내,경기도 김포시 풍무동 674-6
광명 경희FC 제 1 실내장,경기도 광명시 노온사동 224-2
김병지 파크 구리아울렛점,경기도 구리시 인창동 419-7
GS경수클럽 당수점 실내구장,경기도 수원시 권선구 당수동 232-2
BF 실내장,경기도 용인시 수지구 신봉동 신봉프라자 지하 1층
JD 풋볼아카데미 장(실내) B면,서울시 송파구 가락동 164-24 지하1층
한국축구센터 야외장,경기도 양주시 장흥면 삼하리 389-3
아이비리그 장(실내),경기도 고양시 일산동구 식사동 716-9
고양 백야 야외장,경기도 고양시 일산동구 풍동 1275 옥상
고양 백야 실내장,경기도 고양시 일산동구 풍동 1275 7층
