,구장명,주소,시,구,냉난방,5vs5,7vs7,6vs6,팀조끼,4vs4,트레이닝 존,공대여,3vs3,8vs8,냉방,풋살화,11vs11,9vs9,샤워실,주차
208,자양 WIN FC 2호점(실내),서울시 광진구 뚝섬로35길 14 한라아파트 B동상가 지하1층,서울시,광진구,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
209,영등포 투터치 실내풋살장,서울시 영등포구 가마산로69가길12 지하 1층,서울시,영등포구,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
210,마포키즈아레나 3호점 트레이닝존 A면,서울시 마포구 마포대로 231푸르지오 101동상가 지하1층,서울시,마포구,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
211,마포키즈아레나 3호점 트레이닝존 B면,서울시 마포구 마포대로 231푸르지오 101동상가 지하1층,서울시,마포구,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
212,강동 상일 실내풋살장,"서울시 강동구 상일동 286, 3층",서울시,강동구,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
213,영등포 문래 TISC 실내풋살장 옐로우구장,서울시 영등포구 문래로55 2층 4호,서울시,영등포구,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1
214,영등포 문래 TISC 실내풋살장 블랙구장,서울시 영등포구 문래로55 2층 4호,서울시,영등포구,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1
215,명지 유앤아이 실내풋살장,서울시 서대문구 홍은동 402-34 2층,서울시,서대문구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
216,JDY 풋볼센터(실내),인천시 계양구 계산동 1085-3 태평아파트상가동 지하 b01호 JDY풋볼센터,인천시,계양구,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
217,예스 풋볼아카데미 풋살장(실내),인천시 연수구 송도동 8-12 6층,인천시,연수구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
218,인유FC 청라 스킬트레이닝센터,인천시 서구 청라 커낼로288번길 10 더스페이스타워 1005호,인천시,서구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
219,인천 스포스쿨 실내풋살장,인천시 중구 하늘달빛로 70 5층,인천시,중구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
220,골든아이 스포츠클럽(완정점) 실내 풋살장 ,인천시 서구 완정로 115 2층,인천시,서구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
221,MIN스포츠아카데미 2관 야외풋살장,인천시 부평구 삼산동 168-2,인천시,부평구,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
